iter	PRAUC	Logloss
0	0.9693169264	0.6417915252
1	0.9807887519	0.6032724055
2	0.982551031	0.5635438769
3	0.9870119745	0.5283952297
4	0.9897215845	0.4983928767
5	0.9920029781	0.4612147876
6	0.9941424766	0.4198954227
7	0.9951876501	0.3880552653
8	0.9954632234	0.3638383242
9	0.9953752907	0.3473429784
10	0.9954580792	0.332756648
11	0.995984658	0.3102582233
12	0.9960852596	0.2925862295
13	0.9962740398	0.2796668155
14	0.996616116	0.2609771705
15	0.9970139547	0.2441602712
16	0.997202743	0.2274890602
17	0.9972453041	0.2180732582
18	0.9973731472	0.2076754058
19	0.9974686546	0.1953926588
20	0.9975242615	0.1857810703
21	0.9975814058	0.1783394031
22	0.9976762895	0.1695047942
23	0.9977163396	0.1641548256
24	0.9978125576	0.1573107706
25	0.9978855106	0.1519075102
26	0.9980344666	0.1457663694
27	0.9981614121	0.1400794139
28	0.9982214822	0.1352702789
29	0.9982569657	0.1316514095
30	0.9983668832	0.1271256113
31	0.9984185942	0.1239185465
32	0.998440152	0.121256287
33	0.9984843576	0.1185556874
34	0.9985409369	0.1150538761
35	0.9985926818	0.1121962934
36	0.9985884084	0.1100535021
37	0.9986273005	0.1082873647
38	0.9987100191	0.1050720414
39	0.9987367338	0.1037968421
40	0.9987862025	0.101239533
41	0.998835107	0.09826245095
42	0.998878618	0.09599929596
43	0.998901628	0.09376831904
44	0.9989109289	0.092081264
45	0.9989426709	0.08913624404
46	0.9989806753	0.08746224614
47	0.9989975155	0.08641179874
48	0.9990212008	0.08533123547
49	0.9990389327	0.0839020906
50	0.9990539159	0.08254515903
51	0.9990821817	0.08098483553
52	0.9990940501	0.07973814235
53	0.9991298789	0.07829889539
54	0.9991429017	0.07696456923
55	0.9991571697	0.07502595012
56	0.9991860383	0.07319360116
57	0.9991981101	0.0717692013
58	0.9992081658	0.07093415633
59	0.9992196334	0.0694413809
60	0.9992306627	0.0683327894
61	0.9992568367	0.06681863592
62	0.9992694766	0.06608167443
63	0.9992817516	0.06485765699
64	0.9992908725	0.06389985775
65	0.9993001065	0.06316282288
