iter	Passed	Remaining
0	155	310572
1	170	169842
2	187	125128
3	205	102621
4	223	89196
5	242	80685
6	265	75592
7	287	71598
8	307	67938
9	326	64922
10	344	62259
11	363	60211
12	386	59067
13	410	58281
14	428	56738
15	446	55395
16	465	54318
17	485	53512
18	507	52891
19	525	52027
20	545	51451
21	565	50810
22	584	50264
23	602	49574
24	620	49033
25	642	48747
26	661	48313
27	682	48043
28	700	47589
29	719	47252
30	736	46803
31	756	46541
32	778	46387
33	795	46000
34	813	45663
35	834	45523
36	856	45419
37	874	45160
38	893	44940
39	912	44709
40	932	44562
41	950	44321
42	967	44043
43	984	43785
44	1002	43536
45	1019	43317
46	1036	43069
47	1053	42843
48	1070	42622
49	1088	42438
50	1105	42233
51	1123	42086
52	1140	41908
53	1158	41738
54	1175	41556
55	1192	41386
56	1209	41230
57	1226	41069
58	1243	40898
59	1261	40778
60	1278	40625
61	1294	40472
62	1311	40333
63	1329	40229
64	1346	40086
65	1363	39957
66	1380	39823
67	1397	39711
68	1414	39589
69	1431	39461
70	1448	39346
71	1465	39247
72	1483	39151
73	1500	39057
74	1519	38990
75	1535	38875
76	1552	38772
77	1569	38680
78	1587	38596
79	1603	38494
80	1620	38398
81	1637	38299
82	1654	38209
83	1670	38106
84	1687	38026
85	1704	37938
86	1722	37868
87	1738	37777
88	1755	37696
89	1771	37603
90	1788	37520
91	1805	37439
92	1822	37364
93	1838	37285
94	1855	37206
95	1872	37128
96	1888	37041
97	1905	36977
98	1922	36909
99	1939	36858
100	1956	36789
101	1973	36728
102	1990	36660
103	2006	36583
104	2023	36516
105	2040	36450
106	2056	36390
107	2074	36339
108	2090	36270
109	2107	36214
110	2125	36163
111	2142	36110
112	2159	36059
113	2176	36000
114	2192	35941
115	2209	35887
116	2226	35828
117	2244	35792
118	2261	35748
119	2278	35692
120	2294	35637
121	2311	35589
122	2328	35532
123	2344	35475
124	2361	35426
125	2378	35374
126	2395	35331
127	2412	35289
128	2430	35251
129	2448	35219
130	2466	35193
131	2485	35171
132	2502	35131
133	2522	35127
134	2541	35109
135	2558	35067
136	2575	35028
137	2596	35029
138	2614	35005
139	2633	34982
140	2651	34952
141	2670	34939
142	2688	34907
143	2705	34869
144	2725	34865
145	2742	34823
146	2758	34776
147	2777	34751
148	2794	34716
149	2812	34682
150	2830	34661
151	2848	34636
152	2866	34605
153	2885	34588
154	2902	34553
155	2922	34539
156	2938	34499
157	2957	34475
158	2974	34436
159	2991	34399
160	3008	34358
161	3024	34317
162	3041	34281
163	3059	34247
164	3076	34215
165	3093	34182
166	3111	34156
167	3129	34123
168	3146	34088
169	3162	34044
170	3179	34002
171	3196	33975
172	3213	33935
173	3230	33901
174	3247	33862
175	3263	33825
176	3280	33792
177	3298	33759
178	3315	33724
179	3331	33690
180	3348	33653
181	3365	33620
182	3382	33582
183	3399	33549
184	3415	33507
185	3431	33470
186	3448	33437
187	3465	33402
188	3482	33372
189	3499	33337
190	3515	33300
191	3533	33272
192	3550	33238
193	3566	33204
194	3583	33171
195	3601	33150
196	3618	33120
197	3635	33084
198	3653	33061
199	3669	33028
200	3687	33004
201	3704	32974
202	3722	32954
203	3739	32921
204	3756	32896
205	3774	32870
206	3791	32843
207	3808	32809
208	3825	32781
209	3843	32757
210	3860	32732
211	3877	32705
212	3894	32676
213	3912	32655
214	3929	32625
215	3945	32590
216	3962	32561
217	3979	32533
218	3996	32501
219	4013	32475
220	4030	32448
221	4047	32414
222	4064	32385
223	4080	32352
224	4098	32330
225	4115	32303
226	4134	32290
227	4151	32266
228	4169	32242
229	4185	32209
230	4203	32189
231	4220	32165
232	4239	32154
233	4256	32124
234	4273	32099
235	4292	32085
236	4309	32060
237	4327	32036
238	4343	32004
239	4359	31972
240	4377	31947
241	4393	31914
242	4409	31884
243	4426	31856
244	4443	31831
245	4461	31810
246	4479	31791
247	4496	31765
248	4513	31738
249	4530	31713
250	4547	31684
251	4564	31658
252	4581	31638
253	4598	31610
254	4615	31587
255	4632	31560
256	4649	31535
257	4666	31508
258	4683	31484
259	4701	31461
260	4718	31438
261	4735	31414
262	4752	31391
263	4769	31364
264	4786	31335
265	4803	31310
266	4819	31283
267	4836	31255
268	4853	31230
269	4869	31203
270	4886	31178
271	4904	31160
272	4921	31134
273	4938	31108
274	4955	31082
275	4972	31059
276	4989	31033
277	5005	31007
278	5022	30983
279	5039	30959
280	5057	30938
281	5075	30918
282	5092	30894
283	5108	30869
284	5125	30845
285	5142	30819
286	5159	30794
287	5176	30772
288	5193	30750
289	5211	30726
290	5227	30698
291	5244	30679
292	5261	30652
293	5277	30626
294	5295	30605
295	5313	30586
296	5329	30561
297	5346	30535
298	5364	30516
299	5380	30491
300	5397	30466
301	5414	30441
302	5431	30420
303	5449	30405
304	5466	30381
305	5484	30361
306	5501	30336
307	5518	30314
308	5534	30288
309	5551	30265
310	5568	30240
311	5584	30213
312	5601	30189
313	5618	30168
314	5636	30149
315	5654	30131
316	5671	30109
317	5688	30087
318	5705	30067
319	5722	30045
320	5739	30023
321	5756	30000
322	5773	29977
323	5791	29956
324	5808	29938
325	5825	29915
326	5842	29893
327	5859	29867
328	5876	29845
329	5893	29824
330	5910	29802
331	5927	29780
332	5944	29759
333	5961	29736
334	5978	29715
335	5996	29695
336	6012	29670
337	6029	29649
338	6046	29627
339	6064	29609
340	6081	29586
341	6098	29564
342	6116	29548
343	6133	29525
344	6150	29504
345	6167	29484
346	6185	29465
347	6203	29450
348	6221	29430
349	6239	29415
350	6257	29397
351	6275	29380
352	6294	29366
353	6311	29347
354	6330	29332
355	6347	29312
356	6364	29289
357	6382	29274
358	6400	29256
359	6418	29238
360	6436	29224
361	6453	29201
362	6470	29179
363	6488	29162
364	6505	29139
365	6523	29122
366	6541	29108
367	6559	29090
368	6578	29076
369	6596	29059
370	6613	29037
371	6630	29018
372	6647	28997
373	6665	28979
374	6683	28962
375	6701	28945
376	6719	28926
377	6736	28904
378	6753	28886
379	6771	28867
380	6788	28848
381	6806	28829
382	6823	28806
383	6840	28787
384	6857	28764
385	6874	28742
386	6891	28724
387	6909	28704
388	6927	28687
389	6944	28668
390	6962	28650
391	6979	28631
392	6997	28611
393	7014	28591
394	7031	28570
395	7049	28554
396	7066	28534
397	7084	28516
398	7102	28497
399	7119	28476
400	7136	28458
401	7152	28433
402	7169	28411
403	7186	28391
404	7204	28372
405	7221	28353
406	7239	28337
407	7257	28317
408	7274	28295
409	7292	28280
410	7311	28266
411	7328	28247
412	7345	28227
413	7362	28206
414	7380	28188
415	7397	28168
416	7415	28151
417	7432	28130
418	7450	28113
419	7467	28091
420	7485	28073
421	7502	28053
422	7519	28033
423	7537	28016
424	7554	27996
425	7571	27975
426	7588	27954
427	7605	27934
428	7623	27916
429	7640	27897
430	7658	27878
431	7676	27861
432	7693	27841
433	7710	27822
434	7728	27803
435	7745	27785
436	7762	27763
437	7779	27744
438	7797	27725
439	7814	27705
440	7832	27688
441	7850	27670
442	7868	27653
443	7884	27632
444	7902	27615
445	7920	27597
446	7937	27577
447	7955	27558
448	7972	27539
449	7989	27520
450	8006	27500
451	8024	27481
452	8042	27466
453	8060	27448
454	8078	27430
455	8095	27411
456	8112	27390
457	8129	27371
458	8147	27353
459	8164	27334
460	8181	27313
461	8198	27294
462	8216	27275
463	8233	27257
464	8250	27236
465	8267	27216
466	8285	27199
467	8303	27180
468	8318	27156
469	8335	27134
470	8352	27114
471	8368	27090
472	8386	27073
473	8403	27054
474	8421	27037
475	8439	27020
476	8457	27004
477	8475	26985
478	8492	26966
479	8509	26945
480	8527	26929
481	8544	26909
482	8562	26892
483	8579	26873
484	8597	26856
485	8613	26834
486	8631	26816
487	8650	26801
488	8667	26783
489	8685	26764
490	8701	26742
491	8720	26727
492	8738	26712
493	8756	26695
494	8774	26677
495	8791	26656
496	8809	26640
497	8826	26621
498	8843	26600
499	8858	26575
500	8874	26553
501	8892	26534
502	8909	26517
503	8926	26496
504	8944	26480
505	8961	26458
506	8979	26441
507	8996	26422
508	9014	26404
509	9033	26390
510	9050	26371
511	9069	26357
512	9087	26340
513	9104	26321
514	9122	26303
515	9141	26291
516	9157	26268
517	9174	26248
518	9192	26231
519	9210	26215
520	9228	26196
521	9246	26181
522	9264	26163
523	9280	26142
524	9297	26121
525	9313	26099
526	9329	26075
527	9346	26056
528	9364	26038
529	9380	26017
530	9397	25997
531	9415	25981
532	9432	25962
533	9450	25944
534	9466	25923
535	9482	25900
536	9498	25877
537	9513	25852
538	9530	25834
539	9546	25811
540	9562	25789
541	9577	25764
542	9592	25738
543	9607	25714
544	9623	25692
545	9640	25671
546	9654	25646
547	9670	25622
548	9685	25598
549	9700	25573
550	9715	25549
551	9731	25528
552	9747	25506
553	9762	25481
554	9778	25460
555	9795	25440
556	9812	25420
557	9828	25398
558	9844	25377
559	9860	25355
560	9875	25330
561	9890	25308
562	9906	25284
563	9921	25260
564	9937	25239
565	9955	25222
566	9971	25201
567	9989	25183
568	10006	25164
569	10021	25142
570	10037	25119
571	10053	25099
572	10068	25074
573	10084	25052
574	10101	25034
575	10116	25010
576	10132	24987
577	10150	24971
578	10165	24948
579	10181	24926
580	10195	24901
581	10211	24879
582	10227	24857
583	10243	24836
584	10258	24813
585	10273	24789
586	10290	24771
587	10306	24749
588	10323	24730
589	10339	24708
590	10353	24684
591	10369	24662
592	10385	24642
593	10404	24626
594	10421	24609
595	10438	24591
596	10455	24571
597	10473	24555
598	10489	24534
599	10507	24516
600	10523	24496
601	10539	24474
602	10553	24450
603	10571	24432
604	10586	24410
605	10602	24388
606	10618	24368
607	10634	24347
608	10650	24326
609	10666	24305
610	10681	24283
611	10697	24261
612	10713	24241
613	10729	24221
614	10748	24205
615	10764	24184
616	10780	24163
617	10795	24142
618	10811	24120
619	10826	24098
620	10844	24081
621	10863	24066
622	10879	24047
623	10895	24026
624	10911	24006
625	10926	23983
626	10942	23961
627	10958	23940
628	10973	23919
629	10988	23896
630	11004	23875
631	11021	23856
632	11037	23835
633	11052	23813
634	11068	23792
635	11083	23770
636	11099	23750
637	11116	23731
638	11132	23710
639	11148	23691
640	11163	23668
641	11180	23649
642	11195	23627
643	11211	23606
644	11227	23585
645	11246	23571
646	11262	23551
647	11277	23529
648	11293	23509
649	11311	23492
650	11328	23474
651	11345	23457
652	11361	23436
653	11378	23417
654	11397	23403
655	11412	23381
656	11429	23364
657	11445	23344
658	11462	23326
659	11477	23303
660	11494	23285
661	11510	23264
662	11525	23242
663	11540	23220
664	11556	23200
665	11572	23180
666	11589	23161
667	11604	23139
668	11620	23119
669	11636	23098
670	11652	23079
671	11669	23060
672	11686	23042
673	11702	23022
674	11719	23004
675	11734	22983
676	11750	22963
677	11766	22942
678	11783	22925
679	11800	22906
680	11815	22885
681	11831	22864
682	11847	22845
683	11863	22824
684	11879	22804
685	11895	22784
686	11910	22763
687	11926	22744
688	11942	22723
689	11957	22702
690	11973	22681
691	11989	22661
692	12005	22642
693	12021	22622
694	12037	22602
695	12052	22581
696	12067	22560
697	12083	22539
698	12098	22518
699	12113	22496
700	12128	22474
701	12142	22452
702	12157	22430
703	12173	22409
704	12188	22388
705	12203	22368
706	12218	22346
707	12234	22325
708	12249	22304
709	12264	22283
710	12280	22263
711	12296	22244
712	12311	22222
713	12328	22204
714	12346	22189
715	12361	22168
716	12377	22148
717	12394	22131
718	12412	22114
719	12429	22096
720	12445	22077
721	12461	22057
722	12478	22040
723	12496	22023
724	12510	22001
725	12527	21982
726	12544	21965
727	12562	21949
728	12579	21931
729	12595	21913
730	12611	21892
731	12626	21871
732	12645	21858
733	12661	21838
734	12677	21819
735	12692	21798
736	12708	21778
737	12724	21758
738	12743	21744
739	12758	21724
740	12775	21706
741	12790	21685
742	12809	21670
743	12829	21658
744	12846	21639
745	12862	21622
746	12880	21604
747	12895	21583
748	12910	21564
749	12928	21548
750	12945	21529
751	12960	21509
752	12978	21493
753	13000	21483
754	13016	21464
755	13033	21446
756	13052	21431
757	13069	21415
758	13084	21394
759	13102	21377
760	13120	21362
761	13140	21349
762	13158	21333
763	13177	21317
764	13192	21297
765	13208	21277
766	13224	21258
767	13242	21243
768	13260	21226
769	13275	21205
770	13290	21185
771	13308	21169
772	13323	21149
773	13339	21129
774	13360	21117
775	13380	21105
776	13396	21085
777	13415	21071
778	13431	21053
779	13448	21034
780	13464	21015
781	13479	20995
782	13496	20976
783	13513	20959
784	13529	20940
785	13545	20921
786	13562	20903
787	13577	20882
788	13596	20868
789	13612	20849
790	13630	20833
791	13646	20814
792	13660	20792
793	13675	20771
794	13690	20751
795	13705	20731
796	13720	20710
797	13740	20696
798	13756	20678
799	13772	20658
800	13787	20638
801	13803	20619
802	13820	20601
803	13837	20584
804	13854	20565
805	13870	20547
806	13887	20530
807	13903	20511
808	13920	20493
809	13936	20474
810	13951	20453
811	13966	20434
812	13983	20415
813	13998	20395
814	14014	20376
815	14032	20360
816	14049	20343
817	14066	20326
818	14083	20308
819	14099	20289
820	14116	20272
821	14135	20257
822	14153	20240
823	14170	20224
824	14187	20206
825	14205	20190
826	14221	20170
827	14238	20154
828	14255	20136
829	14271	20117
830	14286	20097
831	14302	20078
832	14317	20058
833	14333	20038
834	14348	20019
835	14364	20000
836	14379	19980
837	14397	19963
838	14415	19948
839	14433	19932
840	14453	19918
841	14470	19901
842	14489	19885
843	14505	19868
844	14523	19852
845	14542	19836
846	14559	19819
847	14575	19800
848	14592	19783
849	14609	19765
850	14624	19746
851	14643	19731
852	14659	19711
853	14676	19694
854	14693	19676
855	14708	19657
856	14726	19641
857	14741	19621
858	14757	19602
859	14774	19584
860	14790	19566
861	14807	19548
862	14824	19530
863	14839	19511
864	14854	19490
865	14869	19471
866	14884	19451
867	14899	19430
868	14915	19411
869	14929	19391
870	14945	19372
871	14962	19355
872	14977	19335
873	14992	19315
874	15007	19295
875	15022	19274
876	15037	19255
877	15053	19236
878	15068	19216
879	15083	19197
880	15098	19177
881	15113	19157
882	15128	19137
883	15143	19117
884	15160	19101
885	15176	19082
886	15191	19062
887	15207	19043
888	15224	19026
889	15241	19008
890	15257	18989
891	15272	18970
